Interval,Timestamp,Flume Depth(mm)[Central1_8S1897],AV Flow(l/s)[Central1_8S1897],Flume Flow(l/s)[Central1_8S1897],Total Precipitation (mm)[RG_RomanoWRP]
15 Min,2021-04-01 0:15,14.16,0.4,0.22,0
15 Min,2021-04-01 0:30,14.95,0.24,0.29,0
15 Min,2021-04-01 0:45,14.88,0.15,0.21,0
15 Min,2021-04-01 1:00,13.1,0.17,0.21,0
15 Min,2021-04-01 1:15,13.96,0.23,0.21,0
15 Min,2021-04-01 1:30,14.62,0.24,0.24,0
15 Min,2021-04-01 1:45,13.76,0.19,0.19,0
15 Min,2021-04-01 2:00,14.49,0.09,0.24,0
15 Min,2021-04-01 2:15,12.77,0,0.18,0
15 Min,2021-04-01 2:30,12.57,0.14,0.19,0
15 Min,2021-04-01 2:45,13.17,0.15,0.19,0
15 Min,2021-04-01 3:00,13.1,0.2,0.2,0
15 Min,2021-04-01 3:15,13.23,0.05,0.18,0
15 Min,2021-04-01 3:30,13.5,0.36,0.2,0
15 Min,2021-04-01 3:45,12.64,0.03,0.19,0
15 Min,2021-04-01 4:00,13.36,0.16,0.2,0
15 Min,2021-04-01 4:15,13.5,0.11,0.19,0
15 Min,2021-04-01 4:30,14.29,0.15,0.22,0
15 Min,2021-04-01 4:45,13.3,0.08,0.2,0
15 Min,2021-04-01 5:00,12.83,0.03,0.18,0
15 Min,2021-04-01 5:15,12.57,0.02,0.18,0
15 Min,2021-04-01 5:30,14.62,0.34,0.29,0
15 Min,2021-04-01 5:45,18.06,0.35,0.37,0
15 Min,2021-04-01 6:00,16.8,0.31,0.24,0
15 Min,2021-04-01 6:15,13.43,0.21,0.19,0
15 Min,2021-04-01 6:30,13.43,0.28,0.21,0
15 Min,2021-04-01 6:45,15.41,0.48,0.27,0
15 Min,2021-04-01 7:00,15.08,0.33,0.25,0
15 Min,2021-04-01 7:15,16.47,0.69,0.32,0
15 Min,2021-04-01 7:30,18.19,0.46,0.34,0
15 Min,2021-04-01 7:45,15.08,0.2,0.24,0
15 Min,2021-04-01 8:00,14.42,0.21,0.26,0
15 Min,2021-04-01 8:15,18.13,0.57,0.39,0
15 Min,2021-04-01 8:30,17.33,0.33,0.27,0
15 Min,2021-04-01 8:45,15.41,0.39,0.27,0
15 Min,2021-04-01 9:00,16.94,0.42,0.31,0
15 Min,2021-04-01 9:15,14.55,0.44,0.23,0
15 Min,2021-04-01 9:30,16.47,0.58,0.31,0
15 Min,2021-04-01 9:45,17,0.49,0.31,0
15 Min,2021-04-01 10:00,17.4,0.35,0.33,0
15 Min,2021-04-01 10:15,14.69,0.12,0.2,0
15 Min,2021-04-01 10:30,15.61,0.28,0.32,0
15 Min,2021-04-01 10:45,17.93,0.39,0.43,0
15 Min,2021-04-01 11:00,20.77,0.45,0.38,0
15 Min,2021-04-01 11:15,16.47,0.41,0.28,0
15 Min,2021-04-01 11:30,13.1,0.3,0.25,0
15 Min,2021-04-01 11:45,18.66,0.29,0.3,0
15 Min,2021-04-01 12:00,14.62,0.24,0.29,0
15 Min,2021-04-01 12:15,17.86,0.35,0.34,0
15 Min,2021-04-01 12:30,17,0.59,0.33,0
15 Min,2021-04-01 12:45,18.19,0.39,0.33,0
15 Min,2021-04-01 13:00,16.6,0.32,0.32,0
15 Min,2021-04-01 13:15,17.6,0.46,0.29,0
15 Min,2021-04-01 13:30,17,0.38,0.34,0
15 Min,2021-04-01 13:45,14.82,0.17,0.24,0
15 Min,2021-04-01 14:00,18.19,0.43,0.37,0
15 Min,2021-04-01 14:15,14.75,0.25,0.25,0
15 Min,2021-04-01 14:30,14.82,0.07,0.22,0
15 Min,2021-04-01 14:45,13.89,0.25,0.28,0
15 Min,2021-04-01 15:00,18.59,0.28,0.37,0
15 Min,2021-04-01 15:15,19.98,0.48,0.41,0
15 Min,2021-04-01 15:30,18.19,0.49,0.33,0
15 Min,2021-04-01 15:45,14.95,0.36,0.23,0
15 Min,2021-04-01 16:00,16.6,1.05,0.41,0
15 Min,2021-04-01 16:15,18.92,0.49,0.31,0
15 Min,2021-04-01 16:30,17.07,0.39,0.41,0
15 Min,2021-04-01 16:45,19.18,0.55,0.32,0
15 Min,2021-04-01 17:00,18.39,0.63,0.36,0
15 Min,2021-04-01 17:15,15.22,0.19,0.23,0
15 Min,2021-04-01 17:30,16.27,0.44,0.33,0
15 Min,2021-04-01 17:45,17.53,0.58,0.34,0
